Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.66     0.00    33774     0.00     0.00  v__checker__Checker_check_expected_call_arg
  0.00      0.66     0.00    33705     0.00     0.00  Array_v__ast__Attr_contains
  0.00      0.66     0.00    32972     0.00     0.00  v__checker__Checker_markused_call_expr
  0.00      0.66     0.00    32575     0.00     0.00  v__parser__Parser_open_scope
  0.00      0.66     0.00    32512     0.00     0.00  v__gen__c__Gen_ref_or_deref_arg
  0.00      0.66     0.00    32424     0.00     0.00  v__parser__Parser_call_args
  0.00      0.66     0.00    32123     0.00     0.00  v__checker__Checker_check_expected_arg_count
  0.00      0.66     0.00    32103     0.00     0.00  v__checker__Checker_check_must_use_call_result
  0.00      0.66     0.00    32103     0.00     0.00  v__checker__Checker_set_node_expected_arg_types
  0.00      0.66     0.00    31732     0.00     0.00  v__gen__c__Gen_unwrap
  0.00      0.66     0.00    31731     0.00     0.00  v__gen__c__Gen_call_expr
  0.00      0.66     0.00    31582     0.00     0.00  v__checker__Checker_register_trace_call
  0.00      0.66     0.00    31278     0.00     0.00  v__transformer__Transformer_infix_expr
  0.00      0.66     0.00    30675     0.00     0.00  v__parser__Parser_parse_block_no_scope
  0.00      0.66     0.00    30231     0.00     0.00  v__parser__Parser_parse_language
  0.00      0.66     0.00    30002     0.00     0.00  v__markused__Walker_mark_by_sym
  0.00      0.66     0.00    29884     0.00     0.00  v__checker__Checker_ensure_type_exists
  0.00      0.66     0.00    29259     0.00     0.00  v__checker__Checker_find_unreachable_statements_after_noreturn_calls
  0.00      0.66     0.00    28723     0.00     0.00  Array_string_join
  0.00      0.66     0.00    28707     0.00     0.00  v__checker__has_top_return
  0.00      0.66     0.00    28233     0.00     0.00  v__checker__Checker_fail_if_immutable
  0.00      0.66     0.00    27777     0.00     0.00  v__gen__c__Gen_method_call
  0.00      0.66     0.00    27777     0.00     0.00  v__gen__c__Gen_unwrap_receiver_type
  0.00      0.66     0.00    27475     0.00     0.00  v__transformer__IndexState_indent
  0.00      0.66     0.00    27475     0.00     0.00  v__transformer__IndexState_unindent
  0.00      0.66     0.00    27443     0.00     0.00  v__gen__c__Gen_stmts_with_tmp_var
  0.00      0.66     0.00    27189     0.00     0.00  v__checker__Checker_markused_method_call
  0.00      0.66     0.00    27180     0.00     0.00  v__ast__TypeSymbol_has_method
  0.00      0.66     0.00    26795     0.00     0.00  v__gen__c__Gen_resolve_receiver_name
  0.00      0.66     0.00    26428     0.00     0.00  v__parser__Parser_gen_or_block
  0.00      0.66     0.00    26420     0.00     0.00  v__scanner__Scanner_ident_string
  0.00      0.66     0.00    26101     0.00     0.00  v__ast__Expr_is_lvalue
  0.00      0.66     0.00    25754     0.00     0.00  v__parser__Parser_parse_type
  0.00      0.66     0.00    25727     0.00     0.00  v__checker__Checker_infix_expr
  0.00      0.66     0.00    25675     0.00     0.00  v__parser__Parser_parse_any_type
  0.00      0.66     0.00    23744     0.00     0.00  v__ast__Scope_register
  0.00      0.66     0.00    23717     0.00     0.00  v__gen__c__Gen_write_defer_stmts
  0.00      0.66     0.00    23234     0.00     0.00  v__util__smart_quote
  0.00      0.66     0.00    23113     0.00     0.00  v__gen__c__cescape_nonascii
  0.00      0.66     0.00    22322     0.00     0.00  v__gen__c__Gen_infix_expr
  0.00      0.66     0.00    21674     0.00     0.00  v__checker__Checker_has_return
  0.00      0.66     0.00    21159     0.00     0.00  v__ast__Table_convert_generic_type
  0.00      0.66     0.00    20456     0.00     0.00  builtin__map_clear
  0.00      0.66     0.00    19810     0.00     0.00  builtin__map_hash_int_8
  0.00      0.66     0.00    19776     0.00     0.00  v__parser__Parser_partial_assign_stmt
