Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.65     0.00    51282     0.00     0.00  v__parser__Parser_parse_multi_expr
  0.00      0.65     0.00    49552     0.00     0.00  builtin__string_index_after_
  0.00      0.65     0.00    47698     0.00     0.00  builtin__array_set
  0.00      0.65     0.00    47520     0.00     0.00  v__gen__c__Gen_write2
  0.00      0.65     0.00    46567     0.00     0.00  v__checker__Checker_check_basic
  0.00      0.65     0.00    43011     0.00     0.00  v__ast__Expr_str
  0.00      0.65     0.00    41463     0.00     0.00  v__checker__Checker_symmetric_check
  0.00      0.65     0.00    41143     0.00     0.00  v__ast__Scope_known_var
  0.00      0.65     0.00    37586     0.00     0.00  builtin__map_get_and_set
  0.00      0.65     0.00    36627     0.00     0.00  v__ast__CallExpr_fkey
  0.00      0.65     0.00    36504     0.00     0.00  v__parser__Parser_call_kind
  0.00      0.65     0.00    34631     0.00     0.00  v__type_resolver__TypeResolver_get_type_or_default
  0.00      0.65     0.00    33877     0.00     0.00  v__checker__Checker_check_expected
  0.00      0.65     0.00    33774     0.00     0.00  v__checker__Checker_check_expected_call_arg
  0.00      0.65     0.00    33729     0.00     0.00  Array_v__ast__Attr_contains
  0.00      0.65     0.00    32972     0.00     0.00  v__checker__Checker_markused_call_expr
  0.00      0.65     0.00    32579     0.00     0.00  v__parser__Parser_open_scope
  0.00      0.65     0.00    32512     0.00     0.00  v__gen__c__Gen_ref_or_deref_arg
  0.00      0.65     0.00    32424     0.00     0.00  v__parser__Parser_call_args
  0.00      0.65     0.00    32103     0.00     0.00  v__checker__Checker_check_must_use_call_result
  0.00      0.65     0.00    32103     0.00     0.00  v__checker__Checker_set_node_expected_arg_types
  0.00      0.65     0.00    31736     0.00     0.00  v__gen__c__Gen_unwrap
  0.00      0.65     0.00    31731     0.00     0.00  v__gen__c__Gen_call_expr
  0.00      0.65     0.00    31582     0.00     0.00  v__checker__Checker_register_trace_call
  0.00      0.65     0.00    31282     0.00     0.00  v__transformer__Transformer_infix_expr
  0.00      0.65     0.00    31078     0.00     0.00  v__markused__Walker_call_expr
  0.00      0.65     0.00    30665     0.00     0.00  v__gen__c__Gen_call_args
  0.00      0.65     0.00    30235     0.00     0.00  v__parser__Parser_parse_language
  0.00      0.65     0.00    30004     0.00     0.00  v__markused__Walker_mark_by_sym
  0.00      0.65     0.00    29889     0.00     0.00  v__checker__Checker_ensure_type_exists
  0.00      0.65     0.00    28723     0.00     0.00  Array_string_join
  0.00      0.65     0.00    28709     0.00     0.00  v__checker__has_top_return
  0.00      0.65     0.00    28234     0.00     0.00  v__checker__Checker_fail_if_immutable
  0.00      0.65     0.00    27777     0.00     0.00  v__gen__c__Gen_method_call
  0.00      0.65     0.00    27777     0.00     0.00  v__gen__c__Gen_unwrap_receiver_type
  0.00      0.65     0.00    27478     0.00     0.00  v__transformer__IndexState_indent
  0.00      0.65     0.00    27478     0.00     0.00  v__transformer__IndexState_unindent
  0.00      0.65     0.00    27189     0.00     0.00  v__checker__Checker_markused_method_call
  0.00      0.65     0.00    27180     0.00     0.00  v__ast__TypeSymbol_has_method
  0.00      0.65     0.00    26795     0.00     0.00  v__gen__c__Gen_resolve_receiver_name
  0.00      0.65     0.00    26428     0.00     0.00  v__parser__Parser_gen_or_block
  0.00      0.65     0.00    26420     0.00     0.00  v__scanner__Scanner_ident_string
  0.00      0.65     0.00    26101     0.00     0.00  v__ast__Expr_is_lvalue
  0.00      0.65     0.00    25758     0.00     0.00  v__parser__Parser_parse_type
  0.00      0.65     0.00    25729     0.00     0.00  v__checker__Checker_infix_expr
  0.00      0.65     0.00    25679     0.00     0.00  v__parser__Parser_parse_any_type
  0.00      0.65     0.00    23746     0.00     0.00  v__ast__Scope_register
  0.00      0.65     0.00    23720     0.00     0.00  v__gen__c__Gen_write_defer_stmts
  0.00      0.65     0.00    23234     0.00     0.00  v__util__smart_quote
  0.00      0.65     0.00    23113     0.00     0.00  v__gen__c__cescape_nonascii
  0.00      0.65     0.00    22324     0.00     0.00  v__gen__c__Gen_infix_expr
  0.00      0.65     0.00    21676     0.00     0.00  v__checker__Checker_has_return
  0.00      0.65     0.00    21159     0.00     0.00  v__ast__Table_convert_generic_type
  0.00      0.65     0.00    20459     0.00     0.00  builtin__map_clear
  0.00      0.65     0.00    19810     0.00     0.00  builtin__map_hash_int_8
  0.00      0.65     0.00    19779     0.00     0.00  v__parser__Parser_partial_assign_stmt
  0.00      0.65     0.00    19416     0.00     0.00  v__ast__Table_type_to_str
  0.00      0.65     0.00    19416     0.00     0.00  v__ast__Table_type_to_str_using_aliases
  0.00      0.65     0.00    19396     0.00     0.00  v__gen__c__Gen_need_tmp_var_in_expr
  0.00      0.65     0.00    19340     0.00     0.00  v__checker__Checker_check_valid_snake_case
  0.00      0.65     0.00    19145     0.00     0.00  v__checker__Checker_check_import_sym_conflict
  0.00      0.65     0.00    19094     0.00     0.00  builtin__string_index_kmp
  0.00      0.65     0.00    19066     0.00     0.00  builtin__map_eq_int_8
  0.00      0.65     0.00    19039     0.00     0.00  v__transformer__Transformer_find_new_array_len
  0.00      0.65     0.00    19039     0.00     0.00  v__transformer__Transformer_find_new_range
  0.00      0.65     0.00    18157     0.00     0.00  strconv__common_parse_uint2
  0.00      0.65     0.00    18042     0.00     0.00  v__checker__Checker_smartcast_if_conds
  0.00      0.65     0.00    17979     0.00     0.00  v__parser__Parser_string_expr
  0.00      0.65     0.00    17673     0.00     0.00  v__util__Timers_tsafe_get_sw
  0.00      0.65     0.00    17672     0.00     0.00  v__util__Timers_tsafe_set_sw
  0.00      0.65     0.00    17642     0.00     0.00  v__parser__Parser_prepend_mod
  0.00      0.65     0.00    16611     0.00     0.00  v__ast__Scope_find_const
  0.00      0.65     0.00    16371     0.00     0.00  v__ast__Table_find_fn
  0.00      0.65     0.00    15964     0.00     0.00  v__gen__c__Gen_zero_struct_field
  0.00      0.65     0.00    15947     0.00     0.00  v__ast__Table_known_type
  0.00      0.65     0.00    15744     0.00     0.00  v__ast__Scope_find_struct_field
  0.00      0.65     0.00    15719     0.00     0.00  strconv__common_parse_uint
  0.00      0.65     0.00    15673     0.00     0.00  v__gen__c__Gen_gen_plain_infix_expr
  0.00      0.65     0.00    15291     0.00     0.00  v__checker__Checker_check_for_mut_receiver
  0.00      0.65     0.00    15142     0.00     0.00  Array_v__ast__Attr_find_first
  0.00      0.65     0.00    14982     0.00     0.00  v__scanner__Scanner_ident_number
  0.00      0.65     0.00    14982     0.00     0.00  v__scanner__Scanner_num_lit
  0.00      0.65     0.00    14926     0.00     0.00  v__parser__Parser_peek_token_after_var_list
  0.00      0.65     0.00    14814     0.00     0.00  v__parser__Parser_parse_number_literal
  0.00      0.65     0.00    14165     0.00     0.00  v__checker__Checker_check_module_name_conflict
  0.00      0.65     0.00    14063     0.00     0.00  v__parser__Parser_if_expr
  0.00      0.65     0.00    14020     0.00     0.00  v__checker__Checker_if_expr
  0.00      0.65     0.00    13942     0.00     0.00  v__gen__c__Gen_type_default_impl
  0.00      0.65     0.00    13917     0.00     0.00  v__checker__Checker_string_lit
  0.00      0.65     0.00    13898     0.00     0.00  builtin__string_index_
  0.00      0.65     0.00    13111     0.00     0.00  v__checker__Checker_check_non_expr_branch_last_stmt
  0.00      0.65     0.00    12525     0.00     0.00  v__gen__c__determine_integer_literal_type
  0.00      0.65     0.00    12522     0.00     0.00  v__transformer__Transformer_expr_stmt_if_expr
  0.00      0.65     0.00    12515     0.00     0.00  v__gen__c__Gen_need_tmp_var_in_if
  0.00      0.65     0.00    12473     0.00     0.00  v__gen__c__Gen_if_expr
  0.00      0.65     0.00    12308     0.00     0.00  v__ast__Table_dependent_names_in_expr
  0.00      0.65     0.00    12175     0.00     0.00  v__parser__Parser_check_undefined_variables
  0.00      0.65     0.00    11802     0.00     0.00  strings__Builder_write_decimal
  0.00      0.65     0.00    11671     0.00     0.00  builtin__memdup
  0.00      0.65     0.00    11628     0.00     0.00  v__parser__Parser_find_type_or_add_placeholder
  0.00      0.65     0.00    11530     0.00     0.00  v__checker__Checker_change_flags_if_comptime_expr
  0.00      0.65     0.00    11379     0.00     0.00  v__checker__has_top_return_in_if_expr
  0.00      0.65     0.00    11242     0.00     0.00  v__gen__c__Gen_string_literal
  0.00      0.65     0.00    11195     0.00     0.00  builtin__fast_string_eq
  0.00      0.65     0.00    10952     0.00     0.00  v__scanner__Scanner_ident_dec_number
